class,normal,anomaly,handwrite,std,avg,ssim,powerspectrum,cross_correlation,Spectral Features,Spectral Centroid,Spectral Bandwidth,Spectral Flatness,Spectral Roll-off,RMS (Root Mean Square),Wavelet Transform,method
ToyCar,../../../datasets/dev/ToyCar/test/section_00_source_test_normal_0001_car_B2_spd_31V_mic_1.wav,../../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0001_car_B1_spd_31V_mic_1.wav,,0.034226295,-9.1139475e-07,,224.91635,,"1143.5794327754777, 1571.2808743774485, 0.008195945993065834, 2310.6715425531916",1143.5794327754777,1571.2808743774485,0.008195946,2310.6715425531916,0.032852914,2656.3193,Filename Matching
ToyCar,../../../datasets/dev/ToyCar/test/section_00_source_test_normal_0002_car_B2_spd_31V_mic_1.wav,../../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0002_car_B1_spd_34V_mic_1.wav,,0.03454441,-8.47133e-06,,229.11673,,"1262.8103156225159, 1688.7293714306368, 0.009373011998832226, 2790.1221742021276",1262.8103156225159,1688.7293714306368,0.009373012,2790.1221742021276,0.03330054,2390.0886,Filename Matching
ToyCar,../../../datasets/dev/ToyCar/test/section_00_source_test_normal_0003_car_B2_spd_31V_mic_1.wav,../../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0003_car_B1_spd_34V_mic_1.wav,,0.017719265,1.9270578e-06,,60.28269,,"1331.3115512526747, 1747.4757440830615, 0.009624755941331387, 2900.577626329787",1331.3115512526747,1747.4757440830615,0.009624756,2900.577626329787,0.017414806,720.52374,Filename Matching
ToyCar,../../../datasets/dev/ToyCar/test/section_00_source_test_normal_0004_car_B2_spd_31V_mic_1.wav,../../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0004_car_B1_spd_40V_mic_1.wav,,0.03624685,1.0684331e-06,,252.25621,,"1416.6721793063693, 1743.2029146837665, 0.015393252484500408, 3046.2308843085107",1416.6721793063693,1743.2029146837665,0.0153932525,3046.2308843085107,0.03373809,6550.56,Filename Matching
ToyCar,../../../datasets/dev/ToyCar/test/section_00_source_test_normal_0005_car_B1_spd_34V_mic_1.wav,../../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0005_car_B1_spd_31V_mic_1.wav,,0.031184016,3.2992364e-06,,186.70905,,"1249.3903929212543, 1690.2506508680858, 0.010228157043457031, 2708.174035904255",1249.3903929212543,1690.2506508680858,0.010228157,2708.174035904255,0.028426886,1601.1982,Filename Matching
ToyCar,../../../datasets/dev/ToyCar/test/section_00_source_test_normal_0006_car_B1_spd_34V_mic_1.wav,../../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0006_car_B1_spd_34V_mic_1.wav,,0.034210395,3.148079e-06,,224.70741,,"1336.8435017267104, 1743.0849813247307, 0.011487264186143875, 2954.808011968085",1336.8435017267104,1743.0849813247307,0.011487264,2954.808011968085,0.033180736,2211.0793,Filename Matching
ToyCar,../../../datasets/dev/ToyCar/test/section_00_source_test_normal_0007_car_B1_spd_34V_mic_1.wav,../../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0007_car_B1_spd_34V_mic_1.wav,,0.023124132,-3.789266e-07,,102.667305,,"1234.3939075655258, 1680.7295698076828, 0.009405530989170074, 2636.968085106383",1234.3939075655258,1680.7295698076828,0.009405531,2636.968085106383,0.022778608,1023.6734,Filename Matching
ToyCar,../../../datasets/dev/ToyCar/test/section_00_source_test_normal_0008_car_B1_spd_34V_mic_1.wav,../../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0008_car_B1_spd_40V_mic_1.wav,,0.0245673,-3.242493e-08,,115.88202,,"1296.0531150372726, 1744.9141540330086, 0.010560297407209873, 2858.876329787234",1296.0531150372726,1744.9141540330086,0.010560297,2858.876329787234,0.02412557,1167.3777,Filename Matching
ToyCar,../../../datasets/dev/ToyCar/test/section_00_source_test_normal_0009_car_B1_spd_34V_mic_1.wav,../../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0009_car_B1_spd_40V_mic_1.wav,,0.02013277,1.5060107e-06,,77.823074,,"1706.7086719995646, 1821.2609691832972, 0.028530698269605637, 3661.2782579787236",1706.7086719995646,1821.2609691832972,0.028530698,3661.2782579787236,0.019659897,936.9105,Filename Matching
ToyCar,../../../datasets/dev/ToyCar/test/section_00_source_test_normal_0010_car_B1_spd_34V_mic_1.wav,../../../datasets/dev/ToyCar/test/section_00_source_test_anomaly_0010_car_B2_spd_31V_mic_1.wav,,0.04186638,1.3485432e-05,,336.53644,,"1239.2270186396286, 1688.6213197755872, 0.010225133039057255, 2692.154255319149",1239.2270186396286,1688.6213197755872,0.010225133,2692.154255319149,0.039272822,3051.386,Filename Matching
